facility_id,district,block
7663929c-b7d7-4b10-8cab-ab4d69e49abb,Krishna,Gudivada
6964e0dd-65d7-4c2f-a874-012af9ab2bae,Krishna,Vuyyuru
2ec6b8cb-627e-4753-9468-ed21539c9119,NTR,Nandigama
ff9dcca8-e07a-44c1-8f7f-f1368abbf378,Krishna,Vuyyuru
db262b8c-6081-4b4a-befc-a82ec4a7dd62,NTR,Nandigama
5582ffa0-ee18-48cf-872e-4857585d1246,NTR,Nandigama
6a01c44d-2d61-40ec-8113-b1643d0a92e7,NTR,Nandigama
b077ad71-d036-488f-a48b-e156c53d081f,NTR,Nandigama
9fe0b87c-3941-47c8-9f35-12e8b767a0d3,NTR,Tiruvuru
f5166a67-632d-43f5-aaa5-39d85d50b52a,NTR,Nandigama
d8a2e0b8-dab4-40d5-a618-570932935e82,Krishna,Vuyyuru
278fcd9a-18de-4fd6-97d0-5b89e8a6a4ca,NTR,Nandigama
da87d02a-cca8-43e0-97fa-4e724095a597,NTR,Nandigama
b03fdb67-7d98-4179-805b-b4b41cf27da5,Krishna,Vuyyuru
1f489868-51e6-42e9-866b-97048cbb67dc,NTR,Nandigama
f56389ef-d7da-4f74-9bde-9462773afa8e,NTR,Nandigama
3f79291e-464f-420e-8e1c-e81ab588529a,NTR,Vijayawada
fda5e029-15d0-4cce-a990-dd4a9151654b,NTR,Nandigama
fb8a7b68-c750-4407-b67d-a21450e37dd5,NTR,Nandigama
e7322d28-9f5a-4bc0-8b8c-b94badf5c580,NTR,Nandigama
577928fd-c71c-4cf1-841e-78a4e19ea82e,NTR,Nandigama
758e422e-c64b-4096-8f2f-b89f9c37d32f,Anakapalli,Anakapalli
2fc8e2e1-7326-4912-87e5-ac59d5036d62,Anakapalli,Anakapalli
18568a0f-5605-4a88-9f35-1263439d99b2,Anakapalli,Anakapalli
99383ea3-12ff-4e9c-8e48-abe3f09a4f0d,Anakapalli,Anakapalli
f2e56aff-a719-40c7-858e-3c62c21ea6ac,Anakapalli,Anakapalli
947fe540-74fb-4ebd-a6ab-1967db4c84f4,Anakapalli,Anakapalli
ab6dace6-d6c3-41b2-adcc-9a2134c9d747,Anakapalli,Anakapalli
e827fba4-e72c-46ab-a8db-871645e2e3bd,Anakapalli,Anakapalli
2d46428c-4345-47f0-aaa5-ad94181b65fa,Anakapalli,Anakapalli
e3c5b84b-2cd4-46d0-8bd5-a7c9abbe428b,Anakapalli,Anakapalli
84455082-26fb-4b7f-b937-462ad15def26,Anakapalli,Anakapalli
3fa75dab-77c1-43c9-8704-f2b5df6b2baf,Anakapalli,Anakapalli
0838461a-4e08-4000-84f7-61c600246f88,Anakapalli,Anakapalli
55e64ae4-16ea-49c8-b3dc-ac9df33ca296,Anakapalli,Anakapalli
b2676f13-28e9-4284-bb27-b64a3f5513c4,Anakapalli,Anakapalli
2ccb7585-6d24-4d97-ace0-e238c20f86b9,Anakapalli,Anakapalli
962943eb-c0a3-41f1-9cbe-42c11fb36897,Anakapalli,Anakapalli
e4a0b2b6-fd22-4d27-9231-daf4724a7cce,Anakapalli,Anakapalli
514d4f0e-3cd5-43ac-9881-8f1d54cc1111,Anakapalli,Anakapalli
90a4a2d5-19f4-4c56-a04f-9f04c25c0ad1,Anakapalli,Anakapalli
e8eba12d-d0f3-4744-8995-64ed453199ef,Anakapalli,Anakapalli
1da02265-c5e3-4a6c-bd35-b95c7b73329f,Anakapalli,Anakapalli
45f5d1b2-3f4c-41a0-bd9a-a029d2435332,Anakapalli,Anakapalli
a83b77c0-f3ba-4454-b705-542280a319d4,Anakapalli,Anakapalli
929bfe25-f8e3-478f-b99d-cff5f3303165,Anakapalli,Anakapalli
039b50df-96b2-4d32-a36d-1deeb0a85d7f,Anakapalli,Anakapalli
ffc64cce-8d27-4aab-b6b4-e8252e8bc156,Anakapalli,Anakapalli
773cfe30-7ebc-44b3-a34d-331bc6311aec,Anakapalli,Anakapalli
c4f07262-2a7f-47da-a451-2a9ca4f0d53c,Anakapalli,Anakapalli
1e5e8458-ce7a-4db7-9cbf-4b04be6254bc,Anakapalli,Anakapalli
